pronto	bereit, fertig
stare	sein
meglio	besser, lieber, vielmehr
la parola	das Wort
molto	sehr
piacere	mögen
preferire	bevorzugen
avere	haben
l'albero	der Baum
la banana	die Banane
il cane	der Hund
il fuoco	der Feuer
il gelato	das Eis
l'hotel	das Hotel
il letto	das Bett
la mela	der Apfel
il naso	die Nase
il pane	das Brot
la rosa	die Rose
il sole	die Sonne
il tavolo	der Tisch
il water	das Wasserklosett
l'alfabeto	das Alphabet
il numero	die Zahl
la cosa	die Sache
la cucina	die Küche
il banco	die Sitzbank
il cielo	der Himmel
aceso	eingeschaltet
spento	ausgeschaltet
la chiesa	die Kirche
la chiave	der Schlüssel
il gatto	die Katze
il giro	die Runde
scusa	Tut mir leid
la cena	das Abendessen
l'acciaio	der Stahl
accendere	anzünden
l'amico	der Freund
l'amica	die Freundin
il parcheggio	der Parkplatz
la gola	die Kehle
il guanto	der Handschuh
la fuga	die Flucht
il fungo	der Pilz
l'anguria	die Wassermelone
gentile	freundlich, höflich
pregiare	schätzen
la legge	das Gesetz
il ghiro	der Siebenschläfer
il ghepardo	der Gepard
pagare	zahlen
la strega	die Hexe
sciare	Ski fahren
la scena	die Szene
le scale	die Treppen
il casco	der Helm
la scuola	die Schule
lo scherzo	der Scherz
la campagna	das Land
la lasagna	die Lasagne
la castagna	die Kastanie
il segno	das Zeichen
il legno	das Holz
il pugno	die Faust
il giugno	der Juni
gli gnocchi	die Gnocchi
il cognome	der Familienname
lo gnu	das Gnu
la glassa	die Glasur
la giungla	der Dschungel
la gloria	der Ruhm
il glutine	das Gluten
l'aglio	der Knoblauch
la moglie	die Ehefrau
il marito	der Ehemann
la sogliola	die Seezunge
l'allegato	der Anhang
il maglione	der Pullover
il ragno	die Spinne
l'animale	das Tier
l'uomo ragno	Spider Mann
l'umo	der Mann
l'uovo	das Eis
marrone	braun
nero, nera	schwarz
bello, bella	schön
brutto, brutta	hässlich
veloce	schnell
lento, lenta	langsam
giallo, gialla	gelb
bianco, bianca	weiß
rosso, rossa	rot
verde	grün
grigio, grigia	grau
la sfumatura	die Nuance
viola	violett
blu	blau
l'azzurro	das Blau, der Azur
la pesca	der Pfirsich
pescare	fischen
il fiume	der Fluss
il pesce	der Fisch